,Unnamed: 0,sentiment,review,emopattern,emoscore
1097352,1097352,1,"I've always been a big fan of WC, especially the music...but this sound track is better than the music for the games. The only thing it's missing is the intro with the Kennedy speech.",spn,0.3440522
3532118,3532118,1,"Harper stretches himself pretty thin trying to do Dixieland jazz (Suzie Blue) and goofy hard rock (Less, Please Bleed), and almost all the songs are too long (2 Hands of a Prayer is 8 damn minutes of nothing much), but the best songs are quite good. Unfortunately, Harper has given up writing political songs, but the best stuff on here is good enough to make up for that. Personal faves -- The Woman in You (soul with some rock), Burn to Shine (good hard rock) and Beloved One (ooh! so pretty).",snnpp,0.950118
3458262,3458262,1,"My wife and I have heard a great deal about this great diet plan that seems to be the best way to go about losing the pounds. In all fairness, I believe we cannot really give this product a rating due to we have yet to try it and see for ourselves if this is the way to go? We will comment again in one month and let you know what the results are for our weight loss goals. Wish us luck. My wife is out picking up the ""Protien Plan"" and the ""Carbo Counter"" books as of this moment. Stay tuned for our futrure reports.The BeBault's",spnpppp,0.18798468
862749,862749,-1,"I have had wonderful results from Manitoba Harvest hemp, but this was a better deal, I thought. Not the case. Lots of shell bits and the hemp bits are tiny. And my physical reaction was nothing like I had with Manitoba. Disappointed.",spnnnn,0.8274898
2015274,2015274,1,"When it comes to music and lyrics (and life in general), there is John Nygren, then there is God. He's the man. He rules.With his suave looks, good humor and his killer kicker second serve, how could he be anything but the next John Lennon and Mozart rolled into one? Buy this album!!S",sppppp,0.3717105
3216135,3216135,-1,Was looking forward to viewing the film but after a very long and questioning the seller they refunded the item due to damage. My complaint is why sell something in the first place if you know it is damaged. Had I known I wouldnt have wasted my time with this seller.,snnn,0.86261815
3425841,3425841,-1,"I have purchased two of these phones, because they were cheap. Both quit within a year. On the last phone, it was the answering machine that just totally quit working. It's definitely not worth the money.",spnnn,0.8694695
2861835,2861835,1,"I have fished brook trout for 25 years both in lakes and streams, and this book BROOK TROUT is right on the mark. Full of informative information that was not obtained over a short duration. The author of this book gives the brookies the credit it deserves. Rich in history and sad at times, this book tells why the brook trout should be American proud symbol for all fishermen.",spppp,0.83913386
2292105,2292105,1,"I love these rollers. In fact, I'm on my third set. If you close the lid they do get very very hot, and they don't take up much room on the bathroom counter. My only complaint is that they take up a huge amount of room in a suitcase. And, the plastic lid cracks. In fact, that's why I'm on my third set. After about a year of business trips, the lid will be cracked beyond use. So, I'm going to buy another set of these for the bathroom counter, and try another brand for the road.",sppnnnpnp,0.3085153
2002376,2002376,1,"ncaa 2000 is a very enjoyable game to play.good graphics and sound.the only complaint i would make is that it is geared more to offense than defense.i am a total novice of when it comes to video games,but i am already towards the end of my second undefeated season and i haven't thrown an interception yet, not to mention the staggering offensive numbers i've been putting up 540yds per game.i am an offensive juggernaut.buy the game for a good fun time,that is only if you like offense.",sp,0.9198819
3504304,3504304,1,"I used this video in teaching Old Testament Bible to high school Freshmen. This vid showed God's words (with a deep voice reading them)in describing how each part of the Tabernacle should be constructed, then showed the ""furniture"" within the Tabernacle structure itself. The visuals were a terrific teaching tool.",sppp,0.9818995
956723,956723,-1,"What happened? I expected better from Mr. Jordan on this one. Crown of Swords was an okay read. A place to pause the epic and take your breath. I didn't realize it was the start of long snooze. Why Mr. Jordan spent a lot of pages on female drivel I couldn't understand. Granted he crafted strong female characters but you can only take so much. I liked the series because of its sense of mythology. That it could effectively convey its own creation cycle of fall and redemption. Instead we got sidetracked by Nynaeve being her usually silly and irritating self. And where's Mat? His escapades running away from his reputation as a great tactician was the most enjoyable aspect of the book. Look... I know the White Tower is an important part of the plot, but Mr. Jordan should have evened it out with other plot developments. I'm sorry for the rest of you who waited. It really wasn't worth it.",snnppnnnpnnnpppnn,0.83284783
2215342,2215342,1,"Have not had this long but am enjoying. I was not sure when I bought it if I would like it as I really do like the old fashioned books, but it is so light and easy to use. I love the dictionary function means I can easily look up a work when previously I would have just skipped over it.",sppp,0.9185663
2862027,2862027,-1,I wasn't expecting this book for a elementary grade and didn't enjoy it at all. All the sentences so short and nothing exciting happening in the book. If you are an adult don't buy only for kids.,snnn,0.34446707
1619401,1619401,1,"I really liked the colors and books in the tote but, the tote itself isn't so great. The color books slip out easily, so when small children carry it they are always having to stop and pick them up",snn,0.3609077
1435274,1435274,-1,"Do not buy these headphones unless you are willing to replace them every 4-5 months. I should admit the sound quality is really good. But, the product is not durable at all. The cord that goes around the neck wears out too quickly. I bought mine from amazon few months ago, and now there is almost nothing left of the protecting skin around the wires. The cord gets tangled up very easily, and I think that is the cause of the problem. I contacted Sony requesting a replacement. They asked $29 to send me a refurbished one.",snpnnnnpn,0.2685988
739779,739779,1,The CD arrived quickly and is exactly what I expected. I'm very pleased with this purchase and will buy from them again.,spp,0.9867486
208021,208021,1,"Clare is a true poet, and strangely neglected currently it seems. Really he is one of the essential poets of the wonderful romantic era which includes Wordsworth, Shelley, Blake, Coleridge, and Keats. Why is this just about the only book of his work being published? I think you're lucky to find this one, and you can find many poems of his on the web to see yourself. Cheers",sppnpp,0.71281
2282626,2282626,-1,"Just watched the transfer of CHAMPAGNE contained in this set. Unbelievably, it's been mastered from a VHS tape! A heavily scratched VHS tape!!",sppnp,0.689429
2890237,2890237,1,"This adventure will stay with you and won't let go. We are 5 sixth graders who were assigned ""Samurai's Tale"" by our language arts teacher. It kept us reading for nights and we ended up finishing weeks before the deadline. This story takes you through the feudal period in Japan with a young orphan named Taro; his dream is to become a samurai just like his dad. Read The Samurai's Tale to see if Taro's dream comes true.",sppppp,0.25232667
2483136,2483136,1,"This is a quality album full of great songs that cover a spectrum of topics, from ""Cowboy Take Me Away"" to ""Goodbye Earl,"" and sophisticated music production. The music fits the songs really well. I don't usually pay close attention to the music, but I couldn't help noticing how polished the music was. The producers really did a superb job on this album. Natalie's voice is much more controlled on this album - able to be passionate and powerful as well as sensitive and soft at the same time. It's also a relief to hear more of Emily and Martie on this album. I was beginning to think they were nothing more than backup singers. The Dixie Chicks have themselves one fine album here.",sppppppnp,0.8770944
592114,592114,1,"This is the next great game to buy for the PS2! What's bad: It's very long and hard. What's good: Everything else in the game. There is very good grapics, Plus, a frickin' Drive command is added.If you like sword-weilding RPGs without the blood and gore, Then this game is for you, Which is why I rate it 5 strikes out of 5.",spnpp,0.94798076
3559939,3559939,1,"""There are a few gems of poetic brilliance to be found.""That is all the reason to buy or read this book.",spp,0.5026859
2700653,2700653,-1,"""Portraits"" indeed. There was not one portrait, either photographic or drawn. What a disappointment.I will look elsewhere next time.",spnn,0.93004346
1776071,1776071,-1,This is as bad a book as I have try to read in a long time. I would have to see to believe the good review it suppose to have from The L A Times.Reader in California,snp,0.30401337
