,Unnamed: 0,sentiment,review,emopattern,emoscore,pnp,npn,pnpn,npnp,ppp,nnn,Total_pnp_patterns
1709168,1709168,1,"The Ya Yas are the bestest of best friends. Everything about their lives is exponential, from the love to their tragedies. Its this passion for living that makes them so fascinating. The only disappointment is the lead character, the very boring daughter of Ya Ya Vivi, Siddalee Walker. Oh well, you'll get past her like I did and revel in all the glories of the Ya Yas.",spnpnp,0.7546819448471069,1,1,1,1,0,0,4
2360966,2360966,1,"A few uneven songs keep this from a 5 star rating but it remains one of my favorite albums by Bruce nonetheless. The desperate, consuming mood of ""One Step Up"" is one that most people who have suffered through a dying relationship can relate to. ""Brilliant Disguise"" & ""Tunnel of Love"" are some of the best lyrics he's ever penned. They both cut like a knife. But just when you think he's lost all sight of redemption he ends the album with the hopeful ""Valentine's Day"" where he reminds us all of what is really important in life. Don't overlook this wonderful collection of tunes from the Boss.",spnpnpp,0.9815285205841064,1,1,1,1,0,0,4
375659,375659,-1,"The cd title should be ""Horrible"". I am a big fan of Depeche Mode but this release is a big dissapointment. The songs ""Dream On"", ""I Feel Love"" and ""I Am You"" are the only tracks worth hearing in my opinion. I keep hearing all the talk of David Gahan's drug problem being a reason for bad work in the past. Well, with Exciter, I suggest you get back on the drugs if that's what it takes to produce good work!My amazement is that you can find many ""Exciter"" Bonus tracks on the internet that I haven't been able to find on the cd. And everyone of those Bonus Tracks is twice as good as what the group choose to put on their album. The guys definitely got the good and bad mixed up when deciding on which tracks to include with this release. Check out the bonus tracks on the net. If your a DM fan like me, you will probally be pleased with what you find. But don't bother with the Exciter release. Sorry Depeche Mode, hope you learned a lesson this time.",snnpnppnupnn,-0.7680075764656067,1,1,0,1,0,0,3
3315980,3315980,1,"I'm 6'5"" 270 pounds. So when I looked into stability balls I was really concerned with whether one would support me. So far, so good. I got it yesterday, blew it up in a few minutes, and sat on it (hesitantly at first) for over an hour. Then worked out for about an hour. It seems very durable and able to maintain my weight without a problem. The exercises on this thing are super effective, as I can feel today. The ball is just right as far as size goes.Someone complained about the pump, but I found it efficient. It's like a huge syringe. It worked fine. It only took me a few minutes to pump the ball up and that was with my one year old hanging on me so he could mess with the ball.If something happens and this product fails in some way, I will immediately update this review so that anyone who's concerned can know. So if you don't see an update, the TKO's going strong.",sunpuupppnpnu,0.0,1,1,1,0,1,0,3
1186257,1186257,-1,"Not great coffee. Rocamojo and PuraVida, which amazon also sells is so much better--and those aren't great just good. This is cheap coffee and tastes like it. I can't complain much at about $3 a pound but it's just ok, drinkable, but wouldn't buy again.",snpnp,0.4203457832336426,1,1,0,1,0,0,3
3006005,3006005,1,"I wouldn't recommend this dvd to a beginner yogi as the length of the practice and the poses can be challenging for someone who has never ventured into yoga before. However, for the intermediate-advanced yogis, I think this is an excellent dvd for those days where you feel a burst of energy. The only hang up I have with the dvd is that it's 60+ minutes and hard to customize for those days where you just don't feel like doing 60+ minutes of yoga. But it is certainly a great workout and I'm happy that I purchased it.",snpnp,0.9852898716926575,1,1,0,1,0,0,3
1609570,1609570,-1,"I refused to believe all the hype about this book for a couple of years until just recently I finally picked it up. Wow. I was disappointed. The story itself is provoking and brings up some interesting points, but overall it is a cheaply written thriller.There are much better, more interesting thrillers by Michael Crichton and the likes. Overall I would compare this book to a cheap action flick, one that causes you to laugh at the shear audacity of many of the scenes, laughing, pointing and saying ""Hey! That could never happen!""In conclusion, if you like books you probably won't like this one. If you prefer reality TV then you will love this book. Blah.",snpnpunnpu,0.0,1,1,0,1,0,0,3
602400,602400,-1,"My wife loved the ""Opera"" show about The Secrete so much that we both wanted to get the video. We were expecting more information about the author's personal story but instead the video is made up of shots of the speakers giving their speeches and it comes across as a low-budget documentary.The production is so poor that it's hard to watch it all the way through (cheesy, repetitive and sometimes boring). The content is very similar to original ""universe"" thinkers such as Napoleon Hill's ""Think and Grow Rich"".If you've never explored self improvement products maybe this could help, if you can sit through it. This is not worth the $29 in my opinion. Get it used at a discount if you really want to see it. This is just a money making/marketing gimmick with no real applicable answers to the curiosity generated by the Opera show(s). This is pure marketing with no real value.",spnpnunn,-0.8751766681671143,1,1,1,0,0,0,3
1855518,1855518,1,"tag team table matchdudleys vs batista and ric flairnot that good ric flair does not do much what else can you expect from a 50+year old man 6/10rey mysterio vs jamie noble cruiserweight titletoo short with nidia costing noble the match 5.5/10eddie guerrero vs chavo guerrerotoo dissapointing watch chavo classic get the crap beaten out of him at the end 7/10WWE title hardcore holly vs brock lesnarwhy do people hate this match? nice ending with brock retaining his title 9/10World heavyweight titleHHH vs hbk last man standinggood buildup,match and high spot when hbk misses with a moonsault and goes throgh the anouncers table. hbk hits hhh with sweet chin music and both are down for the 10 count terrible ending 7.5/10royal rumble match. with mick foley in the rumble and undertakers gong it made it a whole lot better. chris benoit wins best match 10/10buy this for the royal rumble and both world title matches 70/100",snpnpp,0.9496603012084961,1,1,0,1,0,0,3
909479,909479,-1,"I started it, but I couldn't finish it. These kinds of books are right up my alley, but I could only make it to about page 100. All the things mentioned by other reveiwers (poor sentence structure, cheesy dialogue, etc.) just made me regret the purchase. The cover, which is what caught my eye initially, was good. However, I fell prey to the old adage, you can't judge a book by its cover. Sorry.",snpnnpnu,0.0,0,2,0,0,0,0,2
1574481,1574481,1,"I picked up this book over 20 years ago and read it. It made so much sense! I was (and am still, but working on it!) codependent and I didn't follow their advice. Now my kids are adults, 28 and 33. I have just now re-read the book and this time I AM going to follow thru! If I had done so, 20+ years ago, I would not be going thru what I am now! This is an EXCELLENT book! I cannot overstate it's usefulness! If you want to stop ""hating"" your teen for all they are doing to you, agst you, and agst themselves, read this! YOU deserve self-care, you deserve respect, and yes, so do they. Your kids, no matter what their ages, ""have everything they need to make their own decisions and run their own lives."" ""Watch with interest"" as they change under your own eyes with the help of the advice in this book. Well worth the read!Also highly recommended in conjunction with this book, is reading ""The New Codependency"" by Melodie Beattie on self-care. Desperate parents need help! You can't do it alone.",suppnupnppnpuupnu,0.0,2,0,0,0,0,0,2
3360689,3360689,1,This is a great product. We use this at our Elementary school. I love the fact that it is done by grade level which I find really helpful. The six kids that I have been working with really like the game. It isn't that easy and can be very challenging for the kids. We have also Math munchers which is just as fun!,spuppnp,0.9693577885627747,1,0,0,0,0,0,1
2693523,2693523,-1,"It seems that anything good gets discontinued rather quickly. Kleenex 160 2-ply was the perfect box. And this item is so pricey, I cannot believe that Amazon.com is promoting it.",snpn,-0.8889200687408447,0,1,0,0,0,0,1
