,Unnamed: 0,sentiment,review,emopattern,emoscore,pnp,npn,pnpn,npnp,ppp,nnn,Total_pnp_patterns
1538533,1538533,-1,"There are a lot of mixed reviews about this movie. Some say it demonizes men; some say it makes all women look like shrews. Some say that if you don't 'get it' you're just too young, while others say you're just too old. I think the main problem with this movie is that people watch movies to be entertained. If I wanted to experience 'real life' I would read a newspaper or watch the news. (Don't even get me started on reality tv). People can take this movie and twist it into whatever they want it to mean for them, but in the end it's just a depressing story with badly developed characters. Watch it if you want to feel bad about life...",snnnnunnn,-0.689386785030365,0,0,0,0,0,2,0
3160787,3160787,-1,"This stands as a testament to the mediocrity and imbecility of Lenin as a philosopher. It is a overtly lengthy, dull and plodding work. Lenin demonstrates that he has little of the flair of a born philosopher but the heavyhandedness and arbitrariness of a politician. This book, which is so antiquated that it now seems unworthy of even academic interest, is nothing but a compilation of quatations from previous Marxists, glossed and re-worked to back up official party policy. Also includes a typically stupid and blustering polemic against the majority of positivists and idealists who are all deemed as ""blockheads""; only the revelations of Marx and Engels, as Lenin seems to think, contain the monopoly of infallible truth. A laughable example of the dogmatism and intolerance of an ideology upon which was founded a totalitarian darkness that could not maintain itself without resorting to terror, persecution, assassination, sabotage and institutionalised ignorance.",snnnnnn,-0.9287927150726318,0,0,0,0,0,2,0
3105863,3105863,-1,"I give it only 2 stars. The only warning that comes with it is NOT to heat it in the chintzy bag that comes with it. For whatever reason, when I heated it for 2 minutes in my microwave last week, it pulled open, spilling therabeads into my oven. That's the second one I've had do that, so won't try another! I'll just use a wet towel in a plastic bag from now on! Wish I could get my money back.The last one was in a pillow case when it came apart, but this one was just on the turntable.",snnnnnn,-0.6731945276260376,0,0,0,0,0,2,0
1787192,1787192,-1,"This movie is astoundingly bad. Okay, the animation is decent, but the story is horrible, the screenplay atrocious, and the characters are one-dimensional and unlovable. Just because they're animals doesn't make them funny or cute or even at all interesting. The plot is predictable in most places, and completely bizarre in the others. The movie can't decide whether it's trying to be funny or a heart-touching relationship story, and in the end it's neither. Avoid this one -- lots of better choices out there.",snnnnnn,-0.6773965358734131,0,0,0,0,0,2,0
2394282,2394282,-1,Lotions have a low to medium viscosity. A cream is thicker. This is not a cream! It ran all over the place. The packaging is suspect as there is not a seal on the end of the tube. I will be returning this item.,suunnnu,0.0,0,0,0,0,0,1,0
137675,137675,-1,My dvd arrived a month after I purchased it. It arrived after the date I was told. I am seeking a refund but I have not recieved an answer. I guess they dont want to refund me my money. I will never purchase anything from dvd legacy. The service is bad. I dont recommend anyone buying anything from them!!!,suunnnnnp,0.689428985118866,0,0,0,0,0,1,0
3118649,3118649,-1,"I bought a new PUR water filter when the old PUR filter broke after three years. The new one started leaking furiously in about 1 year. Extremely bad quality construction. Cheap plastic faucet adapter frequently unthreads itself. It has come to a point where the threads have disappeared. The body itself leaks from multiple location causing a flow of unfiltered water running in and mixing with the pure water and forms one stream that goes into the glass. This obviously defeats the purpose of having a filter. All in all, I am highly unsatisfied and will NOT buy it once more. Will check out others such as cullinan",sunnnnunnu,0.0,0,0,0,0,0,1,0
2055884,2055884,-1,"Oooooh, it's so hard being a rock star. Tries to arty, but in reality is a big mess of poor editing and lousy song choices. Maybe I just didn't get it...",snnn,-0.6064738631248474,0,0,0,0,0,1,0
2594343,2594343,-1,Waste of time. Started off with some nice thoughts but makes like everyone (male and female) is permanently wounded by others. Nonsense.,snnn,-0.5316848158836365,0,0,0,0,0,1,0
2443778,2443778,-1,"Very child-like drawings. Not at all what I expected. You cannnot remove the drawings without ruining the book,,,,I should have read more reviews, my bad..If you want reading material this is your book.",snnn,-0.8753087520599365,0,0,0,0,0,1,0
