,Unnamed: 0,sentiment,review,emopattern,emoscore,pnp,npn,pnpn,npnp,ppp,nnn,Total_pnp_patterns
3343042,3343042,1,"My kid tore through the Wimpy Kid books and now we are working our way through the DVDs. This one was really funny. Much funnier than the original movie. This one had me laughing. There is one scene at church which was hillarious. There is not swearing or anything bad,so our four year old watched it with us. I really don't like Rodrick, but the movie is about siblings coming together to get along. I think all in all it's well cast, I love mom and dad. I think it's funny to see the kid from Jessie, a lot younger, in these movies. A really funny cute movie.",supppuunppp,0.9770441651344299,0,0,0,0,2,0,0
514276,514276,1,"In my opinion, music is something to make you fell certain emotions. In the case of S-CLUB-7, I'm sure that they have set out to make their fans happy, and feel good about themselves! This album does that! I have all 3 of their albums. You can hear the group mature and grow with each release. All I can say is THANK YOU to S-CLUB -7, and their agents! As for a stand out song for the CD Sunshine, all the songs are excellent. But so far the albums title track is my overall favorite so far. If you don't have this CD, you are missing some true magic.",supppppppp,0.6463091969490051,0,0,0,0,2,0,0
551440,551440,1,"I absolutely LOVE this movie! I first watched this movie on the Disney Channel when I was 5 years old, and it was one of the first movies I watched and actually liked back then, this and Care Bears. It might sound kinda crazy, since I'm 13, but there's a few things about Rainbow Brite that I like. First, the characters are really cute, especially the sprites, and the animation and music is great. I watched a few of the old Rainbow Brite episodes on tape a few years back, but I think the movie is much better! My little brother saw it last week, and he's totally for it! Oh, and if some of you anime fans out there like shows like Sailor Moon, you'll like this, too! Get it and you'll see what I mean!",spppppppu,0.0,0,0,0,0,2,0,0
3476063,3476063,1,"Wonderful book, rate it up there among the great writers such as Steel, Roberts, Delinsky, and Michaels.Great storytelling and Jennifer Foster, is a character all women have dreamed of. The Janhu's were at their best in this story of wealth and power. A must read and highly recommended. Brenda Bailey, talented author, giving art and creativity of life to the pages of this book, Branded Heart. Outstanding!!",spppppp,0.689428985118866,0,0,0,0,2,0,0
2075440,2075440,1,"OK I just started playing a few nights ago, and for all those who loved the original Everquest, will love this game. It's such a great game because it's all different, but with that same feel that the original one gave you. I love the fact that tradeskills are pushed along a little more at younger lvls, and not so open ended. The graphics have gotten a complete overhaul and I think it looks great. Whenever you start a new game, it seems like your always kinda lost trying to find what to do next, but this game does a great job of guiding you right fromt he beginning and slowly letting up to allow you to do as you wish. If you have never tried Everquest, I would definitely recommend EQ 2, as it is a wonderful game!",spppppp,0.9869312644004822,0,0,0,0,2,0,0
1667017,1667017,1,Wow ! This new release from Steve Gordon is really exceptional. I got it as a gift for the holidays and it just blew my mind. The orchestration and exotic insturments are amazing and the blend of vocals with chants from around the world really creates a trencendent sound. I've been blissed out for the past several hours and can't stop playing it. Spectacular and highly recommended !,spppppp,0.9812852144241333,0,0,0,0,2,0,0
193120,193120,1,"I want to begin by saying that I hated Matchbox Twenty's first album. It just didn't strike any chords with me so to speak. That said, I was leary of buying the new album based solely on the one song that I had heard (ie ""Bent""). I loved this particular song, but wasn't sure how I would feel about the rest of the album. I bought the cd anyway, and I am NOT disappointed. I have completely fallen for this album, and it will be permanently placed among my most listened to cd's. The album starts a bit slow, but by track number 5 things really pick up and the album is one hit after another at that point. My favorites are, If You're Gone, Mad Season, The Burn, Bent, Leave and Stop. You can not go wrong with buying this cd, I guarantee there will be at least two songs that will touch you and catch your mind as well as your ear.",snnupppppp,0.9721204042434692,0,0,0,0,2,0,0
158957,158957,1,"I recently received the Diamond Edition of Snow White, and I all I can say is ""Amazing"". The quality of the picture with the diamond edition is flawless. I also like that it has bonus features that I enjoyed sharing with my children. This is a great movie to own for yourself, or give as a gift with the holidays around the corner. A timeless classic to say the least, and one worth watching over and over again!!",spppppp,0.689428985118866,0,0,0,0,2,0,0
3279825,3279825,1,I just finished this novel and I loved it! I have recently re-discovered Robert R. McCammon and I am in the process of checking off my R.R.M. list of reads. Stinger was awesome! As was Boys Life and Mine. They Thirst ranks as one of my elite few fave's. I am looking forward to reading Wolf's Hour and Swan Song next. They Thirst had everything you wanted to satisfy a craving for a great vampire story. It had some wonderful twists that I was not expecting and the character developement was great. There are very few books that can get my heart beating fast and clutching the pages and this was one! Do yourself a favor and read this book!,sppupupppppp,0.6020459532737732,0,0,0,0,2,0,0
339193,339193,1,"The Godfather is simply a must watch epic for all. It simply places itself one level higher than other movies. It has been written with perfection by Mario Puzo, deserving the credit it has been given. A masterpiece portraying the life of Don Corleone(Marlon Brando) and his powerful family. An important part is played by Micheal, his youngest son, who rises in the family business at the end of the movie.. An incredible piece with kingly performances by Pacino, Brando, Caan and Robert Duvall. My favourite quote is: Michael: Sonny, its not personal, its just business. The intense acting by Pacino and Brando will keep you on the edge of your seat. A great depiction of the mafia in New York. Defintely one of my favourite movies.",sppppppupp,0.9809904098510742,0,0,0,0,2,0,0
